customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000-XXXXX,Male,0,Yes,No,63,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,80.55,4959.14,No
0001-XXXXX,Female,0,Yes,No,15,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),40.05,579.76,No
0002-XXXXX,Female,0,No,Yes,57,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,40.9,2329.54,Yes
0003-XXXXX,Male,0,Yes,No,27,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),111.83,3023.7,Yes
0004-XXXXX,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),131.460653998567,954.04,No
0005-XXXXX,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),86.14498121444072,3068.11,Yes
0006-XXXXX,Male,0,No,No,34,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,103.8,3610.51,No
0007-XXXXX,Female,0,Yes,No,36,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),135.48733432524602,4915.11,Yes
0008-XXXXX,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),125.6288409355265,7782.01,No
0009-XXXXX,Male,0,No,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.99,897.71,No
0010-XXXXX,Female,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),37.043642274088285,1740.48,Yes
0011-XXXXX,Female,0,No,Yes,14,No,Yes,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,37.23,461.5,No
0012-XXXXX,Female,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.26,2824.18,Yes
0013-XXXXX,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),65.08715847404021,2229.39,No
0014-XXXXX,Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),79.2259713974365,4628.39,No
0015-XXXXX,Female,0,No,No,19,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),100.39,1960.63,Yes
0016-XXXXX,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,76.22692818869852,1691.94,Yes
0017-XXXXX,Male,0,No,No,71,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,109.95,7856.17,No
0018-XXXXX,Female,1,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.19296580519033,1470.77,Yes
0019-XXXXX,Male,0,Yes,No,40,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),26.67,1160.55,Yes
0020-XXXXX,Female,1,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,147.6201496106881,3374.25,Yes
0021-XXXXX,Male,0,No,No,28,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),46.31,1260.13,Yes
0022-XXXXX,Male,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,100.89072500376406,4957.79,Yes
0023-XXXXX,Female,0,Yes,No,57,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,120.96213165879922,6893.62,Yes
0024-XXXXX,Female,0,No,Yes,35,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),78.45556621126282,2791.92,Yes
0025-XXXXX,Female,1,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.91,1208.7,No
0026-XXXXX,Male,0,No,No,3,No,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),117.25025103592537,353.93,Yes
0027-XXXXX,Female,1,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,121.81737758491857,2139.68,No
0028-XXXXX,Female,1,Yes,Yes,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,123.60659888141711,6690.04,Yes
0029-XXXXX,Male,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),41.1,1914.89,No
